Time resolution is 1 ps
                  65A = 0000000000010000, B = 0000000000100000, Cin = 1, Cout = 0, Sum = 0000000000110001
                  66A = 0000000000010000, B = 0000000000100001, Cin = 0, Cout = 0, Sum = 0000000000110001
                  67A = 0000000000010000, B = 0000000000100001, Cin = 1, Cout = 0, Sum = 0000000000110010
                  68A = 0000000000010001, B = 0000000000100010, Cin = 0, Cout = 0, Sum = 0000000000110011
                  69A = 0000000000010001, B = 0000000000100010, Cin = 1, Cout = 0, Sum = 0000000000110100
                  70A = 0000000000010001, B = 0000000000100011, Cin = 0, Cout = 0, Sum = 0000000000110100
                  71A = 0000000000010001, B = 0000000000100011, Cin = 1, Cout = 0, Sum = 0000000000110101
                  72A = 0000000000010010, B = 0000000000100100, Cin = 0, Cout = 0, Sum = 0000000000110110
                  73A = 0000000000010010, B = 0000000000100100, Cin = 1, Cout = 0, Sum = 0000000000110111
                  74A = 0000000000010010, B = 0000000000100101, Cin = 0, Cout = 0, Sum = 0000000000110111
                  75A = 0000000000010010, B = 0000000000100101, Cin = 1, Cout = 0, Sum = 0000000000111000
                  76A = 0000000000010011, B = 0000000000100110, Cin = 0, Cout = 0, Sum = 0000000000111001
      
